tiempo_s,voltaje_mV
0.0,0.0001
0.004,0.0001
0.008,0.0001
0.012,0.0002
0.016,0.0004
0.02,0.0006
0.024,0.0009
0.028,0.0014
0.032,0.002
0.036,0.003
0.04,0.0043
0.044,0.0061
0.048,0.0084
0.052,0.0115
0.056,0.0155
0.06,0.0204
0.064,0.0263
0.068,0.0335
0.072,0.0418
0.0761,0.0513
0.0801,0.0618
0.0841,0.0732
0.0881,0.0851
0.0921,0.0972
0.0961,0.1091
0.1001,0.1203
0.1041,0.1303
0.1081,0.1386
0.1121,0.1449
0.1161,0.1487
0.1201,0.15
0.1241,0.1486
0.1281,0.1446
0.1321,0.1383
0.1361,0.1299
0.1401,0.1199
0.1441,0.1086
0.1481,0.0967
0.1521,0.0846
0.1561,0.0727
0.1601,0.0614
0.1641,0.0511
0.1681,0.0419
0.1721,0.0341
0.1761,0.0281
0.1801,0.0244
0.1841,0.0237
0.1881,0.0271
0.1921,0.0361
0.1961,0.0529
0.2001,0.0805
0.2041,0.1233
0.2081,0.1864
0.2121,0.2751
0.2161,0.3921
0.2201,0.5346
0.2241,0.6921
0.2282,0.8463
0.2322,0.9747
0.2362,1.0563
0.2402,1.0762
0.2442,1.03
0.2482,0.9239
0.2522,0.7726
0.2562,0.5959
0.2602,0.4145
0.2642,0.2464
0.2682,0.1044
0.2722,-0.0045
0.2762,-0.0793
0.2802,-0.123
0.2842,-0.1412
0.2882,-0.1407
0.2922,-0.128
0.2962,-0.1086
0.3002,-0.0866
0.3042,-0.0649
0.3082,-0.0452
0.3122,-0.0283
0.3162,-0.0143
0.3202,-0.0029
0.3242,0.0063
0.3282,0.0139
0.3322,0.0205
0.3362,0.0265
0.3402,0.0322
0.3442,0.0381
0.3482,0.0442
0.3522,0.0508
0.3562,0.0579
0.3602,0.0656
0.3642,0.074
0.3682,0.0831
0.3722,0.0928
0.3763,0.1033
0.3803,0.1143
0.3843,0.1261
0.3883,0.1384
0.3923,0.1512
0.3963,0.1645
0.4003,0.1781
0.4043,0.1921
0.4083,0.2062
0.4123,0.2203
0.4163,0.2344
0.4203,0.2483
0.4243,0.2618
0.4283,0.2749
0.4323,0.2873
0.4363,0.2989
0.4403,0.3096
0.4443,0.3193
0.4483,0.3278
0.4523,0.3351
0.4563,0.341
0.4603,0.3455
0.4643,0.3484
0.4683,0.3499
0.4723,0.3497
0.4763,0.3481
0.4803,0.3449
0.4843,0.3402
0.4883,0.3341
0.4923,0.3266
0.4963,0.3179
0.5003,0.308
0.5043,0.2971
0.5083,0.2854
0.5123,0.2729
0.5163,0.2597
0.5203,0.2461
0.5243,0.2322
0.5284,0.2181
0.5324,0.204
0.5364,0.1899
0.5404,0.176
0.5444,0.1624
0.5484,0.1492
0.5524,0.1364
0.5564,0.1242
0.5604,0.1126
0.5644,0.1016
0.5684,0.0913
0.5724,0.0816
0.5764,0.0727
0.5804,0.0644
0.5844,0.0569
0.5884,0.05
0.5924,0.0437
0.5964,0.0381
0.6004,0.033
0.6044,0.0285
0.6084,0.0245
0.6124,0.0209
0.6164,0.0178
0.6204,0.0151
0.6244,0.0128
0.6284,0.0107
0.6324,0.009
0.6364,0.0075
0.6404,0.0062
0.6444,0.0051
0.6484,0.0042
0.6524,0.0034
0.6564,0.0028
0.6604,0.0023
